,Name,Prabhag,SeatDesignation,Party,Election_type,Round,Votes
386,Pradip Raut,prabhag 9,A,BJP,Nagarsevak A,2,350
387,Nota,prabhag 9,A,Nota,Nagarsevak A,1,7
388,Nota,prabhag 9,A,Nota,Nagarsevak A,2,11
389,Priyanka Jagtap,prabhag 9,B,BJP,Nagarsevak B,1,476
390,Priyanka Jagtap,prabhag 9,B,BJP,Nagarsevak B,2,462
391,Asmita Ranpise,prabhag 9,B,SS,Nagarsevak B,1,161
392,Asmita Ranpise,prabhag 9,B,SS,Nagarsevak B,2,156
393,Chaya subhade,prabhag 9,B,independent,Nagarsevak B,1,5
394,Chaya subhade,prabhag 9,B,independent,Nagarsevak B,2,5
395,Nota,prabhag 9,B,Nota,Nagarsevak B,1,10
396,Nota,prabhag 9,B,Nota,Nagarsevak B,2,10
397,Dnyaneshwar Girme,prabhag 10,A,BJP,Nagarsevak A,1,309
398,Dnyaneshwar Girme,prabhag 10,A,BJP,Nagarsevak A,2,302
399,Dnyaneshwar Girme,prabhag 10,A,BJP,Nagarsevak A,3,325
400,Sunil Pawar,prabhag 10,A,SS,Nagarsevak A,1,297
401,Sunil Pawar,prabhag 10,A,SS,Nagarsevak A,2,329
402,Sunil Pawar,prabhag 10,A,SS,Nagarsevak A,3,283
403,Nota,prabhag 10,A,Nota,Nagarsevak A,1,16
404,Nota,prabhag 10,A,Nota,Nagarsevak A,2,16
405,Nota,prabhag 10,A,Nota,Nagarsevak A,3,22
406,Shilpa Jagtap,prabhag 10,B,SS,Nagarsevak B,1,300
407,Shilpa Jagtap,prabhag 10,B,SS,Nagarsevak B,2,364
408,Shilpa Jagtap,prabhag 10,B,SS,Nagarsevak B,3,290
409,Dipti Suryvanshi,prabhag 10,B,BJP,Nagarsevak B,1,309
410,Dipti Suryvanshi,prabhag 10,B,BJP,Nagarsevak B,2,273
411,Dipti Suryvanshi,prabhag 10,B,BJP,Nagarsevak B,3,326
412,Nota,prabhag 10,B,Nota,Nagarsevak B,1,13
413,Nota,prabhag 10,B,Nota,Nagarsevak B,2,10
414,Nota,prabhag 10,B,Nota,Nagarsevak B,3,14
415,Ajit Jagtap,prabhag 11,A,BJP,Nagarsevak A,1,523
416,Ajit Jagtap,prabhag 11,A,BJP,Nagarsevak A,2,453
417,Ajit Jagtap,prabhag 11,A,BJP,Nagarsevak A,3,465
418,Ajit Jagtap,prabhag 11,A,BJP,Nagarsevak A,4,225
419,Rajesh Dalvi,prabhag 11,A,SS,Nagarsevak A,1,125
420,Rajesh Dalvi,prabhag 11,A,SS,Nagarsevak A,2,105
421,Rajesh Dalvi,prabhag 11,A,SS,Nagarsevak A,3,151
422,Rajesh Dalvi,prabhag 11,A,SS,Nagarsevak A,4,205
423,Nota,prabhag 11,A,Nota,Nagarsevak A,1,12
424,Nota,prabhag 11,A,Nota,Nagarsevak A,2,4
425,Nota,prabhag 11,A,Nota,Nagarsevak A,3,12
426,Nota,prabhag 11,A,Nota,Nagarsevak A,4,3
